height,nTime,nonce,nDifficulty,average_hash_calcualtions,targetHash
0,1231006505,2083236893,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
200,1231753120,1832536838,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
400,1231902179,2194885122,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
600,1232038747,2396589880,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
800,1232194705,2009953288,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
1000,1232346882,2595206198,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
1200,1232500435,1034021175,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
1400,1232726353,1103297079,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
1600,1232811403,4130546467,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
1800,1232898170,1752590631,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
2000,1233046715,2999858432,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
2200,1233215459,4204103682,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
2400,1233355850,9140222,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
2600,1233495650,51902729,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
2800,1233628495,98433300,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
3000,1233761870,3798991363,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
3200,1233901171,2334648349,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
3400,1234038283,1888113438,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
3600,1234172560,3485605413,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
3800,1234307016,3858949916,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
4000,1234438726,481589526,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
4200,1234578775,859968281,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
4400,1234712572,35922154,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
4600,1234854020,190559005,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
4800,1234999980,817992754,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
5000,1235135895,3600108085,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
5200,1235287575,49747388,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
5400,1235441214,797134880,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
5600,1235603390,3555690801,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
5800,1235759543,1569117704,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
6000,1235927934,3598075177,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
6200,1236091245,2249377822,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
6400,1236255817,364366881,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
6600,1236406309,230414087,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
6800,1236557941,1972932918,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
7000,1236717839,875775009,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
7200,1236870305,38194021,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
7400,1237024362,1036532482,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
7600,1237169025,854094121,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
7800,1237313789,2717516594,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
8000,1237461258,67698968,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
8200,1237606174,3115401502,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
8400,1237799678,621874233,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
8600,1237950437,2488542247,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
8800,1238100809,1340158006,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
9000,1238252710,2656372516,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
9200,1238398315,715505415,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
9400,1238552393,1226331929,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
9600,1238700831,1009528832,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
9800,1238856609,680978232,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
10000,1238988213,2145410362,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
10200,1239158100,3269754405,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
10400,1239329460,192761385,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
10600,1239479487,129507134,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
10800,1239627725,4139213077,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
11000,1239771564,66993854,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
11200,1239918184,1450762757,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
11400,1240063947,904275486,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
11600,1240209930,3203443754,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
11800,1240352092,16265987,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
12000,1240527039,2340861746,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
12200,1240672260,390233372,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
12400,1240836026,4041847837,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
12600,1240984231,1539823621,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
12800,1241114845,539342872,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
13000,1241251100,4007557418,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
13200,1241402644,107800414,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
13400,1241535397,1874811424,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
13600,1241666599,354351325,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
13800,1241812705,161577314,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
14000,1242020885,1741525806,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
14200,1242157106,1488675351,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
14400,1242301274,2757571376,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
14600,1242422965,3869199387,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
14800,1242568438,107085618,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
15000,1242708482,2416807168,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
15200,1242876404,1152530733,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
15400,1243154236,3117304841,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
15600,1243324207,337259032,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
15800,1243462121,1763504135,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
16000,1243632604,163686697,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
16200,1243787978,3031088919,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
16400,1243991207,2179848503,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
16600,1244410716,1964155926,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
16800,1244614892,4096827188,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
17000,1244803007,21322788,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
17200,1245036197,923876405,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
17400,1245261917,3851266332,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
17600,1245468110,59459890,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
17800,1245684972,1739010597,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
18000,1245893505,2401988649,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
18200,1246112108,3073300271,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
18400,1246360126,2421168687,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
18600,1246571560,4820889,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
18800,1246772851,250505717,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
19000,1246998024,187762709,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
19200,1247211061,1410055702,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
19400,1247431033,1309455874,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
19600,1247696683,341971362,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
19800,1248057595,1054349056,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20000,1248291739,2406314246,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20200,1248626893,522846386,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20400,1249165614,584856341,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20600,1249510504,934966036,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20800,1249715314,69256135,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21000,1249908337,4111140104,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21200,1250151477,3505939997,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21400,1250710529,524251836,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21600,1251410839,2085637914,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21800,1251629422,470628239,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22000,1251826171,1404749333,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22200,1252097779,2028235809,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22400,1252331681,2088585764,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22600,1252607056,469320543,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22800,1252855089,210791703,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23000,1253121103,3546281760,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23200,1253334857,1249802269,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23400,1253568833,3990618919,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23600,1253873034,3741543188,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23800,1254057142,241804819,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24000,1254257892,2962368537,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24200,1254460339,299797277,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24400,1254750088,3576597539,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24600,1255054304,4223661598,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24800,1255274887,2188600097,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25000,1255562441,58357300,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25200,1255832808,1139698876,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25400,1256009966,3592319521,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25600,1256213343,608157353,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25800,1256433998,187819607,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26000,1256681097,70081579,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26200,1256974990,796624486,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26400,1257369053,488707790,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26600,1257642386,275322182,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26800,1257891451,448553434,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27000,1258140529,51592200,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27200,1258331077,17223436,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27400,1258516249,805129222,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27600,1258740490,298894111,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27800,1258935056,205385478,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
