height,fee,numberTXs,nTime,date_str,nonce,nbits,nDifficulty,average_hash_calcualtions,blockhash,targetHash
0,0,1,1231006505,Sat 03 Jan 2009 18:15:05 GMT,2083236893,486604799,1,4295032832,000000000019d6689c085ae165831e934ff763ae46a2a6c172b3f1b60a8ce26f,00000000ffff0000000000000000000000000000000000000000000000000000
10,0,1,1231473952,Fri 09 Jan 2009 04:05:52 GMT,1709518110,486604799,1,4295032832,000000002c05cc2e78923c34df87fd108b22221ac6076c18f3ade378a4d915e9,00000000ffff0000000000000000000000000000000000000000000000000000
20,0,1,1231565995,Sat 10 Jan 2009 05:39:55 GMT,1901123894,486604799,1,4295032832,0000000067a97a2a37b8f190a17f0221e9c3f4fa824ddffdc2e205eae834c8d7,00000000ffff0000000000000000000000000000000000000000000000000000
30,0,1,1231602122,Sat 10 Jan 2009 15:42:02 GMT,3893691144,486604799,1,4295032832,00000000bc919cfb64f62de736d55cf79e3d535b474ace256b4fbb56073f64db,00000000ffff0000000000000000000000000000000000000000000000000000
40,0,1,1231608208,Sat 10 Jan 2009 17:23:28 GMT,1902584070,486604799,1,4295032832,00000000b2f01f399bf503e55f25a1aa51067056d2eb81915cb91976968b69aa,00000000ffff0000000000000000000000000000000000000000000000000000
50,0,1,1231614698,Sat 10 Jan 2009 19:11:38 GMT,1028409902,486604799,1,4295032832,0000000026f34d197f653c5e80cb805e40612eadb0f45d00d7ea4164a20faa33,00000000ffff0000000000000000000000000000000000000000000000000000
60,0,1,1231621959,Sat 10 Jan 2009 21:12:39 GMT,576951554,486604799,1,4295032832,00000000c47a58b89434bd7c7af8334b366f713330dfb89119d67d79424d2cdf,00000000ffff0000000000000000000000000000000000000000000000000000
70,0,1,1231627646,Sat 10 Jan 2009 22:47:26 GMT,4209394234,486604799,1,4295032832,00000000ba63ae2eeb3d2371708291b90507c3317ef957f6fcba3811cc4fe0cc,00000000ffff0000000000000000000000000000000000000000000000000000
80,0,1,1231646077,Sun 11 Jan 2009 03:54:37 GMT,320393266,486604799,1,4295032832,00000000be62325a98e47d3306f275efe45d39d8cd5df28c795c96b8920ad48f,00000000ffff0000000000000000000000000000000000000000000000000000
90,0,1,1231653550,Sun 11 Jan 2009 05:59:10 GMT,2639785492,486604799,1,4295032832,00000000f365aa200968bb9808c3566d7d2465b4b3c93aa8a3cb9079f32cbb2f,00000000ffff0000000000000000000000000000000000000000000000000000
100,0,1,1231660825,Sun 11 Jan 2009 08:00:25 GMT,1573057331,486604799,1,4295032832,000000007bc154e0fa7ea32218a72fe2c1bb9f86cf8c9ebf9a715ed27fdb229a,00000000ffff0000000000000000000000000000000000000000000000000000
110,0,1,1231668739,Sun 11 Jan 2009 10:12:19 GMT,2177414145,486604799,1,4295032832,00000000a30e366158a1813a6fda9f913497000a68f1c008b9f935b866cee55b,00000000ffff0000000000000000000000000000000000000000000000000000
120,0,1,1231675623,Sun 11 Jan 2009 12:07:03 GMT,4019953974,486604799,1,4295032832,0000000068e1ce37e6d50d1e960255c00047d9c808146b77df2dc186ab1bc92a,00000000ffff0000000000000000000000000000000000000000000000000000
130,0,1,1231684125,Sun 11 Jan 2009 14:28:45 GMT,4112489989,486604799,1,4295032832,00000000a639917e11de9c36aa5d2e5f3352c2fcef06729ac9540b84837c59a1,00000000ffff0000000000000000000000000000000000000000000000000000
140,0,1,1231689563,Sun 11 Jan 2009 15:59:23 GMT,2576990506,486604799,1,4295032832,00000000b09816342f1f080ca651552cd7d5ac3cf23e28ebe1af416ebd3b0395,00000000ffff0000000000000000000000000000000000000000000000000000
150,0,1,1231696944,Sun 11 Jan 2009 18:02:24 GMT,2690317593,486604799,1,4295032832,000000009ca75733b4cf527fe193b919201a2ed38c9e147a5665fdfade551f4d,00000000ffff0000000000000000000000000000000000000000000000000000
160,0,1,1231703466,Sun 11 Jan 2009 19:51:06 GMT,967628343,486604799,1,4295032832,000000002819c10868c6cf2347766dbd0c6e6502dec7346edf57458cc058c026,00000000ffff0000000000000000000000000000000000000000000000000000
170,0,2,1231731025,Mon 12 Jan 2009 03:30:25 GMT,1889418792,486604799,1,4295032832,00000000d1145790a8694403d4063f323d499e655c83426834d4ce2f8dd4a2ee,00000000ffff0000000000000000000000000000000000000000000000000000
180,0,1,1231739452,Mon 12 Jan 2009 05:50:52 GMT,800571155,486604799,1,4295032832,00000000b5ef0ea215becad97402ce59d1416fe554261405cda943afd2a8c8f2,00000000ffff0000000000000000000000000000000000000000000000000000
190,0,1,1231745501,Mon 12 Jan 2009 07:31:41 GMT,3810841349,486604799,1,4295032832,000000007d31c3592c3fd6f4571c14870f06150028320dda7c847e1869881535,00000000ffff0000000000000000000000000000000000000000000000000000
200,0,1,1231753120,Mon 12 Jan 2009 09:38:40 GMT,1832536838,486604799,1,4295032832,000000008f1a7008320c16b8402b7f11e82951f44ca2663caf6860ab2eeef320,00000000ffff0000000000000000000000000000000000000000000000000000
210,0,1,1231759513,Mon 12 Jan 2009 11:25:13 GMT,60921210,486604799,1,4295032832,00000000101932342af01908230784689a23deff717dcfe16552d673ff30f16b,00000000ffff0000000000000000000000000000000000000000000000000000
220,0,1,1231768665,Mon 12 Jan 2009 13:57:45 GMT,3119993365,486604799,1,4295032832,00000000b66ac539d2cdfebdd4720cb08603b48edec56cc07273c40b082b1d58,00000000ffff0000000000000000000000000000000000000000000000000000
